2010-11-18|31:75|261:52
2010-11-22|31:90|28755:47
2010-11-24|31:66|654:56
2010-11-26|31:65|9:70
2010-12-01|31:84|522:74
2010-12-04|31:75|716:60
2010-12-08|31:71|635:62
2010-12-15|31:87|432:64
2010-12-18|31:62|697:71
2010-12-22|31:67|699:59
2010-12-29|31:87|488:59
2010-12-31|31:87|702:74
2011-01-04|31:46|703:79
2011-01-08|31:68|694:65
2011-01-12|31:53|365:56
2011-01-15|31:70|8:65
2011-01-19|31:74|648:81
2011-01-22|31:43|235:75
2011-01-25|31:73|37:64
2011-01-29|31:89|736:78
2011-02-02|31:59|257:60
2011-02-05|31:60|433:69
2011-02-09|31:56|430:67
2011-02-12|31:80|365:61
2011-02-16|31:94|228:55
2011-02-19|31:56|8:69
2011-02-23|31:77|334:76
2011-02-26|31:57|37:55
2011-03-02|31:78|430:88
2011-03-05|31:74|433:84
2011-03-10|31:68|694:74
2010-11-15|686:74|783:72
2010-11-17|686:69|966:47
2010-11-19|686:69|145:66
2010-11-20|686:45|752:59
2010-11-23|686:61|185:74
2010-11-29|686:79|443:87
2010-12-01|686:58|453:59
2010-12-04|686:74|730:71
2010-12-08|686:64|753:74
2011-01-02|686:78|486:99
2011-01-03|686:58|479:73
2011-01-08|686:46|239:85
2011-01-10|686:43|258:59
2011-01-13|686:53|322:67
2011-01-15|686:73|185:59
2011-01-19|686:52|276:74
2011-01-22|686:76|730:88
2011-01-29|686:59|258:72
2011-01-31|686:43|773:69
2011-02-02|686:52|453:67
2011-02-05|686:53|322:50
2011-02-09|686:72|753:78
2011-02-12|686:57|239:67
2011-02-16|686:51|773:57
2011-02-19|686:52|276:75
